empresa,arquivo_origem,nomes_planos,caminho_completo
2W ECOBANK S.A,Item_8-4_FRE.pdf,"[""Plano de remuneração baseado em ações (a) termos e condições gerais Plano de Outorga de Opções de Compra de Ações Em Assembleia Geral Extraordinária realizada em 31 de março de 2021"", ""Plano de Outorga de Opções de Compra de Ações da Companhia (“Plano de Opção"", ""Plano de Opção da Companhia tem por objetivo a outorga de opções para aquisição de Ações a determinados membros do Conselho de Administração da Companhia (“Participantes do Plano de Opção"", ""Plano de Opção com os interesses dos acionistas"", ""Plano de Opção na Companhia"", ""Plano de Opção para o desenvolvimento e crescimento econômico-financeiro da Companhia"", ""Plano de Opção e as diretrizes fixadas pela Assembleia Geral da Companhia"", ""Plano de remuneração baseado em ações""]",./2W ECOBANK S.A/Item_8-4_FRE.pdf
2W ECOBANK S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE OUTORGA DE OPÇÕES DE COMPRA DE AÇÕES DA 2W ENERGIA S"", ""Plano de Outorga de Opções de Compra de Ações da 2W Energia S""]",./2W ECOBANK S.A/Plano_Remuneracao_1.pdf
2W ECOBANK S.A,Plano_Remuneracao_2.pdf,[],./2W ECOBANK S.A/Plano_Remuneracao_2.pdf
2W ECOBANK S.A,Plano_Remuneracao_3.pdf,[],./2W ECOBANK S.A/Plano_Remuneracao_3.pdf
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,Item_8-4_FRE.pdf,"[""plano de remuneração baseado em ações do conselho de administração e da diretoria estatutária"", ""Plano de Outorga de Ações Restritas (\""1º Plano"", ""Plano de Outorga de Ações Restritas (“2º Plano"", ""plano de remuneração baseado em ações"", ""planos de remuneração baseado em ações""]",./AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A/Item_8-4_FRE.pdf
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE OUTORGA DE AÇÕES RESTRITAS DA AERIS INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS PARA GERAÇÃO DE ENERGIA S"", ""Plano de Outorga de Ações Restritas da Aeris Indústria e Comércio de Equipamentos para Geração de Energia S""]",./AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A/Plano_Remuneracao_1.pdf
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,Plano_Remuneracao_2.pdf,"[""PLANO DE OUTORGA DE AÇÕES RESTRITAS DA AERIS INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS PARA GERAÇÃO DE ENERGIA S"", ""Plano de Outorga de Ações restritas da Aeris Indústria e Comércio de Equipamentos para Geração de Energia S""]",./AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A/Plano_Remuneracao_2.pdf
ALIANSCE SHOPPING CENTERS S.A,Plano_Remuneracao_1.pdf,"[""Plano de Opção de Compra de Ações e de Incentivo Atrelado a Ações (“Plano""]",./ALIANSCE SHOPPING CENTERS S.A/Plano_Remuneracao_1.pdf
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A,Item_8-4_FRE.pdf,"[""Plano de Incentivo de Longo Prazo com Ações Restritas para um grupo de executivos elegíveis pelo Conselho de Administração""]",./ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A/Item_8-4_FRE.pdf
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE INCENTIVO DE LONGO PRAZO COM AÇÕES RESTRITAS O presente Plano de Incentivo de Longo Prazo com Ações Restritas é regido pelas disposições abaixo""]",./ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A/Plano_Remuneracao_1.pdf
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A,Plano_Remuneracao_2.pdf,"[""PLANO DE INCENTIVO DE LONGO PRAZO COM AÇÕES RESTRITAS DA CENTRO DE IMAGEM DIAGNÓSTICOS S"", ""PLANO DE INCENTIVO DE LONGO PRAZO COM AÇÕES RESTRITAS O presente Plano de Incentivo de Longo Prazo com Ações Restritas é regido pelas disposições abaixo""]",./ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A/Plano_Remuneracao_2.pdf
ALLIED TECNOLOGIA S.A,Item_8-4_FRE.pdf,"[""Plano de Opção de Compra de Ações""]",./ALLIED TECNOLOGIA S.A/Item_8-4_FRE.pdf
ALLIED TECNOLOGIA S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE OPÇÃO DE COMPRA DE AÇÕES SOP 2021 2""]",./ALLIED TECNOLOGIA S.A/Plano_Remuneracao_1.pdf
ALLIED TECNOLOGIA S.A,Plano_Remuneracao_2.pdf,"[""PLANO DE opçÃo DE COMPRA DE AÇõES O presente Plano de Opção de Compra de Ações da Allied Tecnologia SA (“Companhia""]",./ALLIED TECNOLOGIA S.A/Plano_Remuneracao_2.pdf
ALMEIDA JUNIOR SHOPPING CENTERS S.A,Item_8-4_FRE.pdf,"[""Plano de remuneração baseado em ações do conselho de administração e diretoria estatutária (a) termos e condições gerais O Plano tem por objetivo permitir que os Participantes"", ""Plano de remuneração baseado em ações""]",./ALMEIDA JUNIOR SHOPPING CENTERS S.A/Item_8-4_FRE.pdf
ALMEIDA JUNIOR SHOPPING CENTERS S.A,Plano_Remuneracao_1.pdf,[],./ALMEIDA JUNIOR SHOPPING CENTERS S.A/Plano_Remuneracao_1.pdf
ALPARGATAS S.A,Item_8-4_FRE.pdf,"[""Plano de remuneração baseado em ações do conselho de administração e diretoria estatutária Até 2015"", ""plano de remuneração baseada em ações"", ""plano de outorga de ações"", ""Plano de Outorga da Ações (Plano Matching"", ""Plano de remuneração baseado em ações""]",./ALPARGATAS S.A/Item_8-4_FRE.pdf
ALPARGATAS S.A,Plano_Remuneracao_1.pdf,[],./ALPARGATAS S.A/Plano_Remuneracao_1.pdf
